px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.71288	-9.9218	-2.93338	1.8943	-0.180845	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.286754
9.73173	-10.0415	-2.63711	1.86587	-0.20792	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	2.36854
9.76673	-10.1718	-2.61717	1.85334	-0.208938	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.101797
9.80938	-10.3085	-2.65693	1.8446	-0.206904	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.487472
9.81911	-10.4522	-2.67616	1.8123	-0.230194	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.28706
9.85722	-10.6051	-2.804	1.80462	-0.220806	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.815971
9.88108	-10.7574	-2.80411	1.78459	-0.229112	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.056399
9.89537	-10.8867	-2.59691	1.75792	-0.250405	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.10417
9.89712	-11.0368	-2.60976	1.72529	-0.270353	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.231138
9.91588	-11.1707	-2.65584	1.71233	-0.268237	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.105589
9.90699	-11.3208	-2.68889	1.67582	-0.292796	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.299766
9.92092	-11.4635	-2.73503	1.66155	-0.291181	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.115084
9.90355	-11.6149	-2.76398	1.62347	-0.316164	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.339084
9.86687	-11.6993	-2.25824	1.55981	-0.38934	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	8.81544
9.83221	-11.8287	-2.29479	1.51417	-0.417011	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.445622
9.82241	-11.9497	-2.34957	1.49391	-0.414103	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.202112
9.76539	-12.0991	-2.42814	1.43398	-0.455621	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.974278
9.72968	-12.2005	-2.22204	1.38321	-0.497732	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	2.32853
9.66392	-12.331	-2.2855	1.32345	-0.534242	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.84219
9.59912	-12.3957	-1.94366	1.24232	-0.612446	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	5.84129
9.50886	-12.5191	-2.04908	1.16674	-0.659097	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	1.43638
9.45697	-12.6238	-2.04984	1.12486	-0.665932	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.103076
9.35389	-12.7498	-2.15304	1.0493	-0.705879	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	1.10828
9.24675	-12.7922	-1.77936	0.905096	-0.861833	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	14.3704
9.08724	-12.9157	-2.02539	0.793368	-0.930997	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	3.9509
8.97012	-12.9802	-1.99565	0.686093	-1.0072	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	2.58068
8.81981	-13.0673	-2.14374	0.592903	-1.0442	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	1.53086
8.67975	-13.1186	-2.21341	0.472773	-1.13894	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	3.25438
8.51411	-13.1843	-2.38158	0.38559	-1.16677	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	1.55934
8.31654	-13.2171	-2.59758	0.235582	-1.28815	8.22926	-13.1698	8.2	-13.15	-2.72741	0	5.19163
8.14038	-13.2364	-2.67043	0.143229	-1.30799	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.01229
7.97607	-13.2407	-2.72471	0.0527547	-1.33092	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0.772958
7.81335	-13.2306	-2.74499	-0.0328669	-1.34253	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.361836
7.75877	-13.2494	-2.3087	-0.040639	-1.24845	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	6.595
7.58239	-13.2581	-2.4718	-0.0954478	-1.23552	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	1.16919
7.44112	-13.2359	-2.46696	-0.166001	-1.23497	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.740581
7.25918	-13.2263	-2.59401	-0.218724	-1.21646	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.668533
7.08956	-13.168	-2.84208	-0.304151	-1.25303	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	2.48199
6.92018	-13.135	-2.92663	-0.351627	-1.23571	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.355181
6.78541	-13.0921	-2.8161	-0.406477	-1.21696	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.530306
6.61442	-13.042	-2.88289	-0.455027	-1.19716	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.269244
6.52922	-13.0156	-2.3834	-0.492654	-1.14661	6.40137	-13.0799	6.4	-13.05	-2.72678	0	6.11805
6.35963	-12.9827	-2.48699	-0.51594	-1.10508	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0.992902
6.24868	-12.926	-2.38422	-0.567722	-1.09198	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0.451886
6.07198	-12.8845	-2.49837	-0.580825	-1.04299	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.42515
5.91502	-12.7752	-2.96625	-0.643287	-1.06819	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	5.02129
5.75021	-12.7028	-3.0414	-0.663823	-1.03327	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0.730401
5.6549	-12.6442	-2.58347	-0.697458	-0.992587	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	5.54861
